date_sk,date_nk,Date_Year
20220101,2022-01-01,2022
20220103,2022-01-03,2022
20220105,2022-01-05,2022
20220107,2022-01-07,2022
20220109,2022-01-09,2022
20220111,2022-01-11,2022
20220113,2022-01-13,2022
20220115,2022-01-15,2022
20220117,2022-01-17,2022
20220119,2022-01-19,2022
20220121,2022-01-21,2022
20220123,2022-01-23,2022
20220125,2022-01-25,2022
20220127,2022-01-27,2022
20220129,2022-01-29,2022
20220131,2022-01-31,2022
20220202,2022-02-02,2022
20220204,2022-02-04,2022
20220206,2022-02-06,2022
20220208,2022-02-08,2022
20220210,2022-02-10,2022
20220212,2022-02-12,2022
20220214,2022-02-14,2022
20220216,2022-02-16,2022
20220218,2022-02-18,2022
20220220,2022-02-20,2022
20220222,2022-02-22,2022
20220224,2022-02-24,2022
20220226,2022-02-26,2022
20220228,2022-02-28,2022
20220302,2022-03-02,2022
20220304,2022-03-04,2022
20220306,2022-03-06,2022
20220308,2022-03-08,2022
20220310,2022-03-10,2022
20220312,2022-03-12,2022
20220314,2022-03-14,2022
20220316,2022-03-16,2022
20220318,2022-03-18,2022
20220320,2022-03-20,2022
20220322,2022-03-22,2022
20220324,2022-03-24,2022
20220326,2022-03-26,2022
20220328,2022-03-28,2022
20220330,2022-03-30,2022
20220401,2022-04-01,2022
20220403,2022-04-03,2022
20220405,2022-04-05,2022
20220407,2022-04-07,2022
20220409,2022-04-09,2022
20220411,2022-04-11,2022
20220413,2022-04-13,2022
20220415,2022-04-15,2022
20220417,2022-04-17,2022
20220419,2022-04-19,2022
20220421,2022-04-21,2022
20220423,2022-04-23,2022
20220425,2022-04-25,2022
20220427,2022-04-27,2022
20220429,2022-04-29,2022
20220501,2022-05-01,2022
20220503,2022-05-03,2022
20220505,2022-05-05,2022
20220507,2022-05-07,2022
20220509,2022-05-09,2022
20220511,2022-05-11,2022
20220513,2022-05-13,2022
20220515,2022-05-15,2022
20220517,2022-05-17,2022
20220519,2022-05-19,2022
20220521,2022-05-21,2022
20220523,2022-05-23,2022
20220525,2022-05-25,2022
20220527,2022-05-27,2022
20220529,2022-05-29,2022
20220531,2022-05-31,2022
20220602,2022-06-02,2022
20220604,2022-06-04,2022
20220606,2022-06-06,2022
20220608,2022-06-08,2022
20220610,2022-06-10,2022
20220612,2022-06-12,2022
20220614,2022-06-14,2022
20220616,2022-06-16,2022
20220618,2022-06-18,2022
20220620,2022-06-20,2022
20220622,2022-06-22,2022
20220624,2022-06-24,2022
20220626,2022-06-26,2022
20220628,2022-06-28,2022
20220630,2022-06-30,2022
20220702,2022-07-02,2022
20220704,2022-07-04,2022
20220706,2022-07-06,2022
20220708,2022-07-08,2022
20220710,2022-07-10,2022
20220712,2022-07-12,2022
20220714,2022-07-14,2022
20220716,2022-07-16,2022
20220718,2022-07-18,2022
20220720,2022-07-20,2022
20220722,2022-07-22,2022
20220724,2022-07-24,2022
20220726,2022-07-26,2022
20220728,2022-07-28,2022
20220730,2022-07-30,2022
20220801,2022-08-01,2022
20220803,2022-08-03,2022
20220805,2022-08-05,2022
20220807,2022-08-07,2022
20220809,2022-08-09,2022
20220811,2022-08-11,2022
20220813,2022-08-13,2022
